food_name,size,price,price_note,allergens,alternatives
Fruit,3 lbs,$4.21,3 lbs at average price for apple/banana/orange/grapes ((1.429+0.580+1.480+2.130)*3/4); prices from Bureau of Labor Statistics,,
Vegetables,3 lbs,$4.79,3 lbs at average price for broccoli/carrots/romaine lettuce/peppers ((1.797+2.66+1.926)*3/4); prices from Bureau of Labor Statistics,,
Milk,$3.39,1 gal,1 gallon whole milk,dairy,"8th Continent Soy Milk Original (5.98 — $2.99 half gallon based on calling Hy-Vee — soy);
Silk Pure Almond Milk (5.98 — $2.99 half gallon https://www.hy-vee.com/grocery/PD9213205/Silk-Pure-Almond-Almond-Milk-Original — tree nuts);
Rice Dream Rice Milk (7.58 — $3.79 half gallon https://www.hy-vee.com/grocery/PD9232260/Rice-Dream-Original-Enriched-Lactose-Free-Rice-Drink-64-fl-oz-Carton)"
Bread,16–24 oz,$2.00,16-24 oz,"gluten, wheat, soy","Angelic Bakehouse Sprouted Seven-Grain Bread (3.99 — price from https://www.hy-vee.com/grocery/PD10052990/Angelic-Bakehouse-Sprouted-Seven-Grain-Bread — wheat, gluten);
Ener-G Wheat, Gluten and Dairy Free Tapioca Loaf (5.99 — price from website 16 oz https://www.hy-vee.com/grocery/PD5635213/Ener-G-Wheat-Gluten-and-Dairy-Free-Tapioca-Loaf)"
Peanut butter,1 lb,$2.68,1 pound,peanut,"Wowbutter (4.79 — 1 pound https://www.hy-vee.com/grocery/PD6527490/Wowbutter-Creamy-Peanut-Free-Spread — soy);
Sunbutter (5.65 — 1 pound http://www.amazon.com/gp/product/B001HTIUDC/ref=s9_al_bw_g325_i4)"
Pizza,10 oz,$3.89,10 oz (https://www.hy-vee.com/grocery/PD7868005/DIGIORNO-Traditional-Crust-Supreme-Small-Pizza-10-oz-Box),"gluten, wheat, dairy","Daiya Deliciously Dairy Free Pizza (6.06 — 7.29 for 12.03 oz https://www.hy-vee.com/grocery/PD8407921/Daiya-Deliciously-Dairy-Free-Pizza-Cheese-Lovers);
Udis Gluten Free Pizza (7.49 — https://www.hy-vee.com/grocery/PD7855635/Udis-Gluten-Free-Three-Cheese-Pizza-10-oz-Box — dairy)"
Canned beans,12 cans,$10.68,12 cans,,
Pasta,12 oz,$1.18,12 oz spaghetti and macaroni (https://www.hy-vee.com/grocery/PD1096980/Ronzini-Healthy-Harvest-100-Whole-Grain-Spaghetti-12-oz-Box),"wheat, gluten",Ronzoni Gluten Free Spaghetti (2.59 — https://www.hy-vee.com/grocery/PD3522666/Ronzoni-Gluten-Free-Spaghetti)
Cookies,13 oz,$3.79,13 oz (https://www.hy-vee.com/grocery/PD1588177/Nabisco-Chips-Ahoy-Original-Chocolate-Chip-Cookies-13-oz-Tray),"wheat, gluten, dairy","Mi-Del Gluten Free All Natural Chocolate Chip Cookies (5.83 — for 13 oz https://www.hy-vee.com/grocery/PD3496893/Mi-Del-Gluten-Free-All-Natural-Chocolate-Chip-Cookies — dairy, eggs);
Lucy's Gluten Free Chocolate Chip Cookies (9.43 — 7.98 for 11 oz https://www.hy-vee.com/grocery/PD4496926/Lucys-Gluten-Free-Chocolate-Chip-Cookies — soy);
Enjoy Life Soft Baked Cookies Chocolate Chip (9.51 — 8.78 for 12 oz https://www.hy-vee.com/grocery/PD5083066/Enjoy-Life-Soft-Baked-Cookies-Chocolate-Chip);
Udi's Gluten Free Soft & Chewy Chocolate Chip Cookies (9.70 — 8.21 for 11 oz https://www.hy-vee.com/grocery/PD4496926/Lucys-Gluten-Free-Chocolate-Chip-Cookies — eggs)"
Chicken,4 lbs,$5.68,"4 lbs, with 1.42 fresh, whole, per pound",,
